Source;Target;Type;Weight
573;600;Undirected;1
469;355;Undirected;1
469;668;Undirected;1
355;668;Undirected;1
469;355;Undirected;1
469;668;Undirected;1
469;600;Undirected;1
355;668;Undirected;1
355;600;Undirected;1
668;600;Undirected;1
469;668;Undirected;1
469;600;Undirected;1
668;600;Undirected;1
181;273;Undirected;1
175;479;Undirected;1
602;517;Undirected;1
602;365;Undirected;1
517;365;Undirected;1
602;517;Undirected;1
602;365;Undirected;1
517;365;Undirected;1
139;490;Undirected;1
139;545;Undirected;1
490;545;Undirected;1
139;365;Undirected;1
490;545;Undirected;1
490;365;Undirected;1
545;365;Undirected;1
463;326;Undirected;1
431;693;Undirected;1
431;479;Undirected;1
431;365;Undirected;1
693;479;Undirected;1
693;365;Undirected;1
479;365;Undirected;1
431;693;Undirected;1
431;479;Undirected;1
431;365;Undirected;1
693;479;Undirected;1
693;365;Undirected;1
479;365;Undirected;1
84;479;Undirected;1
84;600;Undirected;1
702;441;Undirected;1
702;369;Undirected;1
702;116;Undirected;1
702;331;Undirected;1
702;218;Undirected;1
702;665;Undirected;1
702;79;Undirected;1
441;369;Undirected;1
441;116;Undirected;1
441;331;Undirected;1
441;218;Undirected;1
441;665;Undirected;1
441;79;Undirected;1
369;116;Undirected;1
369;331;Undirected;1
369;218;Undirected;1
369;665;Undirected;1
369;79;Undirected;1
116;331;Undirected;1
116;218;Undirected;1
116;665;Undirected;1
116;79;Undirected;1
331;218;Undirected;1
331;665;Undirected;1
331;79;Undirected;1
218;665;Undirected;1
218;79;Undirected;1
665;79;Undirected;1
119;665;Undirected;1
83;585;Undirected;1
585;693;Undirected;1
585;365;Undirected;1
693;365;Undirected;1
114;177;Undirected;1
693;479;Undirected;1
237;693;Undirected;1
403;17;Undirected;1
647;421;Undirected;1
160;617;Undirected;1
233;617;Undirected;1
233;479;Undirected;1
617;479;Undirected;1
412;479;Undirected;1
412;365;Undirected;1
479;365;Undirected;1
137;222;Undirected;1
218;665;Undirected;1
218;79;Undirected;1
665;79;Undirected;1
169;211;Undirected;1
169;573;Undirected;1
211;573;Undirected;1
169;211;Undirected;1
169;573;Undirected;1
211;573;Undirected;1
702;441;Undirected;1
702;116;Undirected;1
702;331;Undirected;1
441;116;Undirected;1
441;331;Undirected;1
116;331;Undirected;1
556;691;Undirected;1
94;520;Undirected;1
94;300;Undirected;1
520;300;Undirected;1
345;519;Undirected;1
345;238;Undirected;1
519;238;Undirected;1
710;646;Undirected;1
44;696;Undirected;1
696;479;Undirected;1
400;620;Undirected;1
100;620;Undirected;1
390;245;Undirected;1
39;545;Undirected;1
39;365;Undirected;1
545;365;Undirected;1
490;39;Undirected;1
490;545;Undirected;1
490;365;Undirected;1
39;545;Undirected;1
39;365;Undirected;1
545;365;Undirected;1
490;545;Undirected;1
490;365;Undirected;1
545;365;Undirected;1
694;465;Undirected;1
694;629;Undirected;1
465;629;Undirected;1
545;365;Undirected;1
479;365;Undirected;1
39;545;Undirected;1
545;365;Undirected;1
693;479;Undirected;1
693;365;Undirected;1
479;365;Undirected;1
693;479;Undirected;1
693;365;Undirected;1
479;365;Undirected;1
479;365;Undirected;1
560;545;Undirected;1
479;545;Undirected;1
617;479;Undirected;1
617;545;Undirected;1
479;545;Undirected;1
617;479;Undirected;1
617;545;Undirected;1
479;545;Undirected;1
187;545;Undirected;1
272;445;Undirected;1
272;426;Undirected;1
272;349;Undirected;1
272;545;Undirected;1
445;426;Undirected;1
445;349;Undirected;1
445;545;Undirected;1
426;349;Undirected;1
426;545;Undirected;1
349;545;Undirected;1
393;545;Undirected;1
479;545;Undirected;1
259;560;Undirected;1
259;512;Undirected;1
560;512;Undirected;1
259;365;Undirected;1
297;140;Undirected;1
297;200;Undirected;1
140;200;Undirected;1
175;479;Undirected;1
212;479;Undirected;1
212;365;Undirected;1
479;365;Undirected;1
314;462;Undirected;1
314;273;Undirected;1
462;273;Undirected;1
524;479;Undirected;1
462;693;Undirected;1
609;78;Undirected;1
609;479;Undirected;1
78;479;Undirected;1
609;78;Undirected;1
609;479;Undirected;1
78;479;Undirected;1
377;365;Undirected;1
536;656;Undirected;1
444;48;Undirected;1
510;693;Undirected;1
188;600;Undirected;1
607;39;Undirected;1
488;677;Undirected;1
488;498;Undirected;1
488;218;Undirected;1
488;408;Undirected;1
488;665;Undirected;1
488;79;Undirected;1
677;498;Undirected;1
677;218;Undirected;1
677;408;Undirected;1
677;665;Undirected;1
677;79;Undirected;1
498;218;Undirected;1
498;408;Undirected;1
498;665;Undirected;1
498;79;Undirected;1
218;408;Undirected;1
218;665;Undirected;1
218;79;Undirected;1
408;665;Undirected;1
408;79;Undirected;1
665;79;Undirected;1
175;199;Undirected;1
311;444;Undirected;1
311;693;Undirected;1
311;479;Undirected;1
444;693;Undirected;1
444;479;Undirected;1
693;479;Undirected;1
311;693;Undirected;1
311;479;Undirected;1
693;479;Undirected;1
311;444;Undirected;1
311;693;Undirected;1
444;693;Undirected;1
311;48;Undirected;1
568;261;Undirected;1
568;150;Undirected;1
568;693;Undirected;1
261;150;Undirected;1
261;693;Undirected;1
150;693;Undirected;1
564;479;Undirected;1
226;479;Undirected;1
693;365;Undirected;1
693;479;Undirected;1
175;180;Undirected;1
175;479;Undirected;1
180;479;Undirected;1
175;180;Undirected;1
175;479;Undirected;1
180;479;Undirected;1
574;394;Undirected;1
311;693;Undirected;1
311;365;Undirected;1
693;365;Undirected;1
311;48;Undirected;1
641;693;Undirected;1
641;479;Undirected;1
693;479;Undirected;1
212;479;Undirected;1
238;199;Undirected;1
238;188;Undirected;1
238;600;Undirected;1
199;188;Undirected;1
199;600;Undirected;1
188;600;Undirected;1
600;511;Undirected;1
599;365;Undirected;1
270;365;Undirected;1
676;530;Undirected;1
408;665;Undirected;1
408;79;Undirected;1
665;79;Undirected;1
518;479;Undirected;1
511;479;Undirected;1
599;479;Undirected;1
